SUPPLIER_NAME,ITEM_NAME,CERTIFICATIONS
Praja Controls & Systems Pvt Ltd,servo amplifier,"US, Canada, Europe"
Onyx Equipments  (India) Pvt. Ltd.,switch,"Europe, Asia"
BHL POWER SYSTEM PVT LTD,brushless motor,Global Certification
"ITOH DENKI CO., LTD.",servo motor,"Europe, Asia"
MEERA ENTERPRISES,gear motor,Global Certification
NETWORK ELECTRONICS,load cell,"Europe, Asia"
NETWORK ELECTRONICS,temperature sensor,Global Certification
UNITED CONTROL ENGINEERS INDIA PRIVATE LIMITED,linear actuator,"Europe, Asia"
SM Electronic Technologies Pvt. Ltd,temperature controller,"Europe, Asia"
Onyx Equipments  (India) Pvt. Ltd.,pressure sensor,"Europe, Asia"
SHREE SAI SOLUTIONS,thermal relay,Global Certification
UNITED CONTROL ENGINEERS INDIA PRIVATE LIMITED,contact sensor,"US, Canada, Europe"
Technovision Enterprises,servo motor,Global Certification
COGNEX IRELAND LTD,linear actuator,"Europe, Asia"
FINE TECH CONTROLS PRIVATE LIMITED,servo amplifier,"US, Canada, Europe"
Social Sea India Pvt Ltd,solenoid valve,"Australia, India"
KUDAMM CORPORATION,hydraulic actuator,"US, Canada, Europe"
MEERA ENTERPRISES,power supply,Global Certification
RD ENERGY SOLUTIONS,servo amplifier,"US, Canada, Europe"
SEW EURODRIVE INDIA P LTD,AC motor,Global Certification
FESTO INDIA PRIVATE LIMITED,stepper controller,Global Certification
Pepperl+Fuchs Factory Automation Pvt. Ltd,frequency inverter,"US, Canada, Europe"
Kinco ElectricShenzhenLtd.,gear motor,"US, Canada, Europe"
PHOENIX CONTACT INDIA PVT LTD,temperature sensor,"US, Canada, Europe"
Kinco ElectricShenzhenLtd.,relay,"Europe, Asia"
MEERA ENTERPRISES,voltage regulator,"Australia, India"
BHL POWER SYSTEM PVT LTD,voltage regulator,"Europe, Asia"
RITTAL PRIVATE LIMITED,robotic gripper,"Europe, Asia"
FINE TECH CONTROLS PRIVATE LIMITED,capacitive sensor,Global Certification
KUDAMM CORPORATION,servo amplifier,"Europe, Asia"
EVOKE GLOBAL,data logger,"Europe, Asia"
FINE TECH CONTROLS PRIVATE LIMITED,robotics arm,"US, Canada, Europe"
Technovision Enterprises,robotics arm,"US, Canada, Europe"
SD ELECTRICAL,PLC,"Australia, India"
"SHANGHAI QUISURE INFO-TECH CO.,LTD",frequency inverter,"US, Canada, Europe"
FINE TECH CONTROLS PRIVATE LIMITED,pressure sensor,"Australia, India"
UNITED CONTROL ENGINEERS INDIA PRIVATE LIMITED,stepper controller,"US, Canada, Europe"
Onyx Equipments  (India) Pvt. Ltd.,AC motor,"Europe, Asia"
RD ENERGY SOLUTIONS,safety light curtain,"US, Canada, Europe"
MEERA ENTERPRISES,smart controller,"Europe, Asia"
Kinco ElectricShenzhenLtd.,circuit breaker,"Europe, Asia"
TAC Automation Pvt.Ltd- UP,solenoid valve,"Europe, Asia"
SHREE SAI SOLUTIONS,smart controller,"Australia, India"
iTG Software Engineering (I) Pvt. Ltd,temperature sensor,Global Certification
Social Sea India Pvt Ltd,proximity switch,"Australia, India"
UNITED CONTROL ENGINEERS INDIA PRIVATE LIMITED,pneumatic actuator,"Europe, Asia"
CONDUCTIX-WAMPFLER INDIA PVT LTD,proximity switch,"Australia, India"
Digi-Key Electronics.,power supply,Global Certification
FESTO INDIA PRIVATE LIMITED,voltage regulator,"Australia, India"
NETWORK ELECTRONICS,IO module,"Australia, India"
IGUS INDIA PRIVATE LIMITED,HMI panel,Global Certification
FESTO INDIA PRIVATE LIMITED,robotics arm,"Australia, India"
Pepperl+Fuchs Factory Automation Pvt. Ltd,industrial camera,"Europe, Asia"
SM Electronic Technologies Pvt. Ltd,actuator,Global Certification
Technovision Enterprises,gear motor,"US, Canada, Europe"
SUGI ELECTRONICS LLP,switch,"Europe, Asia"
SICK INDIA Pvt. Ltd.,current transformer,"Europe, Asia"
Technovision Enterprises,power cable,"US, Canada, Europe"
SUGI ELECTRONICS LLP,machine vision camera,"US, Canada, Europe"
"ITOH DENKI CO., LTD.",gear motor,"Europe, Asia"
BHL POWER SYSTEM PVT LTD,HMI panel,"US, Canada, Europe"
SHREE SAI SOLUTIONS,data logger,"Australia, India"
RAJPRIYA INSTRUMENTS & CONTROLS,VFD drive,Global Certification
FINE TECH CONTROLS PRIVATE LIMITED,thermal relay,"US, Canada, Europe"
SM Electronic Technologies Pvt. Ltd,infrared camera,"US, Canada, Europe"
SUGI ELECTRONICS LLP,IO module,"US, Canada, Europe"
KUDAMM CORPORATION,linear actuator,Global Certification
SECURITAS ENGINEERS,solenoid valve,"US, Canada, Europe"
COGNEX IRELAND LTD,IO module,"Australia, India"
Praja Controls & Systems Pvt Ltd,VFD drive,"US, Canada, Europe"
ELECTRICAL CONTROL SYSTEMS PVT. LTD.,temperature sensor,Global Certification
Social Sea India Pvt Ltd,pneumatic actuator,"US, Canada, Europe"
EVOKE GLOBAL,load cell,"Australia, India"
Pepperl+Fuchs Factory Automation Pvt. Ltd,current transformer,"US, Canada, Europe"
iTG Software Engineering (I) Pvt. Ltd,industrial camera,"Australia, India"
RD ENERGY SOLUTIONS,HMI panel,Global Certification
SD ELECTRICAL,light sensor,"Europe, Asia"
MEERA ENTERPRISES,IO module,"Europe, Asia"
SD ELECTRICAL,transformer,Global Certification
NETWORK ELECTRONICS,pneumatic actuator,"Australia, India"
MEERA ENTERPRISES,relay,"Europe, Asia"
RITTAL INDIA PRIVATE LIMITED,brush motor,Global Certification
PHOENIX CONTACT INDIA PVT LTD,solenoid valve,Global Certification
Praja Controls & Systems Pvt Ltd,actuator,"Europe, Asia"
COGNEX IRELAND LTD,encoder,"Europe, Asia"
COGNEX IRELAND LTD,machine vision camera,Global Certification
NETWORK ELECTRONICS,inductive sensor,"Europe, Asia"
SEW EURODRIVE INDIA P LTD,power cable,"Australia, India"
EVOKE GLOBAL,switch,"Australia, India"
BHL POWER SYSTEM PVT LTD,circuit breaker,"US, Canada, Europe"
SM Electronic Technologies Pvt. Ltd,industrial camera,"Europe, Asia"
Praja Controls & Systems Pvt Ltd,limit switch,Global Certification
Leuze Electronics Pvt. Ltd.,servo motor,"Australia, India"
SD ELECTRICAL,limit switch,"Europe, Asia"
Diagnostic Automation & Controls Pvt. Ltd.,stepper motor,"US, Canada, Europe"
MKSK OFFICE SOLUTIONS LLP,infrared camera,"US, Canada, Europe"
MEERA ENTERPRISES,power cable,"Europe, Asia"
FINE TECH CONTROLS PRIVATE LIMITED,brushless motor,"US, Canada, Europe"
iTG Software Engineering (I) Pvt. Ltd,contact sensor,"Europe, Asia"
SHREE SAI SOLUTIONS,infrared camera,"US, Canada, Europe"
EVOKE GLOBAL,hydraulic actuator,"US, Canada, Europe"
IGUS INDIA PRIVATE LIMITED,temperature sensor,"Australia, India"
Pepperl+Fuchs Factory Automation Pvt. Ltd,temperature sensor,"US, Canada, Europe"
"SHANGHAI QUISURE INFO-TECH CO.,LTD",solenoid valve,"Australia, India"
Praja Controls & Systems Pvt Ltd,relay,"Australia, India"
SUGI ELECTRONICS LLP,servo motor,"Australia, India"
Kinco ElectricShenzhenLtd.,data logger,"Europe, Asia"
RITTAL PRIVATE LIMITED,load cell,"Europe, Asia"
MKSK OFFICE SOLUTIONS LLP,encoder,"US, Canada, Europe"
"ITOH DENKI CO., LTD.",pneumatic actuator,"US, Canada, Europe"
"ITOH DENKI CO., LTD.",industrial camera,"US, Canada, Europe"
iTG Software Engineering (I) Pvt. Ltd,encoder,"US, Canada, Europe"
ELECTRICAL CONTROL SYSTEMS PVT. LTD.,light sensor,"Europe, Asia"
COGNEX IRELAND LTD,light sensor,Global Certification
RITTAL PRIVATE LIMITED,frequency inverter,"US, Canada, Europe"
Diagnostic Automation & Controls Pvt. Ltd.,brushless motor,"Australia, India"
KINCO SCIENTIFIC LIMITED,encoder,"Europe, Asia"
RD ENERGY SOLUTIONS,current transformer,"US, Canada, Europe"
"SHANGHAI QUISURE INFO-TECH CO.,LTD",camera module,"Europe, Asia"
iTG Software Engineering (I) Pvt. Ltd,AC motor,Global Certification
ELECTRICAL CONTROL SYSTEMS PVT. LTD.,IO module,Global Certification
MEERA ENTERPRISES,switch,"US, Canada, Europe"
UNITED CONTROL ENGINEERS INDIA PRIVATE LIMITED,safety light curtain,"Australia, India"
"SHANGHAI QUISURE INFO-TECH CO.,LTD",IO module,"US, Canada, Europe"
RITTAL PRIVATE LIMITED,brush motor,"Australia, India"
Diagnostic Automation & Controls Pvt. Ltd.,inductive sensor,"Europe, Asia"
SEW EURODRIVE INDIA P LTD,capacitive sensor,Global Certification
MKSK OFFICE SOLUTIONS LLP,HMI panel,"Australia, India"
ASTronics Technology (I) Pvt Ltd,thermal relay,Global Certification
Digi-Key Electronics.,temperature controller,"Europe, Asia"
"SHANGHAI QUISURE INFO-TECH CO.,LTD",circuit breaker,Global Certification
FESTO INDIA PRIVATE LIMITED,data logger,"US, Canada, Europe"
MKSK OFFICE SOLUTIONS LLP,contact sensor,Global Certification
SUGI ELECTRONICS LLP,hydraulic actuator,"Europe, Asia"
Leuze Electronics Pvt. Ltd.,power cable,Global Certification
FINE TECH CONTROLS PRIVATE LIMITED,brush motor,"Europe, Asia"
"SHANGHAI QUISURE INFO-TECH CO.,LTD",smart controller,"Europe, Asia"
iTG Software Engineering (I) Pvt. Ltd,gear motor,Global Certification
SICK INDIA Pvt. Ltd.,voltage regulator,"Europe, Asia"
KUDAMM CORPORATION,transformer,"Australia, India"
IGUS INDIA PRIVATE LIMITED,stepper motor,"Europe, Asia"
ELECTRICAL CONTROL SYSTEMS PVT. LTD.,VFD drive,"Australia, India"
Leuze Electronics Pvt. Ltd.,current transformer,"US, Canada, Europe"
SD ELECTRICAL,contact sensor,"Europe, Asia"
RITTAL PRIVATE LIMITED,temperature controller,"US, Canada, Europe"
RITTAL INDIA PRIVATE LIMITED,camera module,"US, Canada, Europe"
SICK INDIA Pvt. Ltd.,load cell,"US, Canada, Europe"
SUGI ELECTRONICS LLP,current transformer,"US, Canada, Europe"
SM Electronic Technologies Pvt. Ltd,encoder,"Australia, India"
BHL POWER SYSTEM PVT LTD,gear motor,"Australia, India"
"ITOH DENKI CO., LTD.",contact sensor,Global Certification
TAC Automation Pvt.Ltd- UP,power cable,"Australia, India"
ELECTRICAL CONTROL SYSTEMS PVT. LTD.,linear actuator,"Australia, India"
Praja Controls & Systems Pvt Ltd,temperature sensor,"Europe, Asia"
Leuze Electronics Pvt. Ltd.,power supply,"Australia, India"
BHL POWER SYSTEM PVT LTD,servo motor,"Europe, Asia"
NETWORK ELECTRONICS,PLC,Global Certification
TAC Automation Pvt.Ltd- UP,data logger,"US, Canada, Europe"
UNITED CONTROL ENGINEERS INDIA PRIVATE LIMITED,control cable,"US, Canada, Europe"
SECURITAS ENGINEERS,transformer,Global Certification
Digi-Key Electronics.,hydraulic actuator,"US, Canada, Europe"
NETWORK ELECTRONICS,infrared camera,"Europe, Asia"
UNITED CONTROL ENGINEERS INDIA PRIVATE LIMITED,transformer,"US, Canada, Europe"
BHL POWER SYSTEM PVT LTD,linear actuator,"Europe, Asia"
Digi-Key Electronics.,switch,Global Certification
MKSK OFFICE SOLUTIONS LLP,switch,"US, Canada, Europe"
PHOENIX CONTACT INDIA PVT LTD,VFD drive,"Australia, India"
UNITED CONTROL ENGINEERS INDIA PRIVATE LIMITED,relay,"US, Canada, Europe"
Social Sea India Pvt Ltd,brushless motor,Global Certification
COGNEX IRELAND LTD,brushless motor,"Europe, Asia"
Digi-Key Electronics.,AC motor,"Europe, Asia"
Digi-Key Electronics.,brush motor,"US, Canada, Europe"
ASTronics Technology (I) Pvt Ltd,temperature sensor,"Australia, India"
IGUS INDIA PRIVATE LIMITED,VFD drive,"US, Canada, Europe"
NETWORK ELECTRONICS,power cable,"Europe, Asia"
Pepperl+Fuchs Factory Automation Pvt. Ltd,temperature controller,"Europe, Asia"
FESTO INDIA PRIVATE LIMITED,pneumatic actuator,"Europe, Asia"
SEW EURODRIVE INDIA P LTD,infrared camera,"Europe, Asia"
MKSK OFFICE SOLUTIONS LLP,servo amplifier,"Europe, Asia"
Leuze Electronics Pvt. Ltd.,AC motor,"Europe, Asia"
Technovision Enterprises,voltage regulator,"US, Canada, Europe"
SICK INDIA Pvt. Ltd.,pneumatic actuator,"US, Canada, Europe"
MKSK OFFICE SOLUTIONS LLP,DC motor,"Australia, India"
SM Electronic Technologies Pvt. Ltd,pressure sensor,"Australia, India"
ELECTRICAL CONTROL SYSTEMS PVT. LTD.,switch,"Europe, Asia"
UNITED CONTROL ENGINEERS INDIA PRIVATE LIMITED,robotic gripper,Global Certification
SM Electronic Technologies Pvt. Ltd,hydraulic actuator,"Australia, India"
IGUS INDIA PRIVATE LIMITED,load cell,"US, Canada, Europe"
Pepperl+Fuchs Factory Automation Pvt. Ltd,PLC,Global Certification
FESTO INDIA PRIVATE LIMITED,stepper motor,"Australia, India"
Diagnostic Automation & Controls Pvt. Ltd.,smart controller,"Europe, Asia"
KINCO SCIENTIFIC LIMITED,VFD drive,"Europe, Asia"
SEW EURODRIVE INDIA P LTD,load cell,Global Certification
Social Sea India Pvt Ltd,infrared camera,"US, Canada, Europe"
RAJPRIYA INSTRUMENTS & CONTROLS,servo motor,"US, Canada, Europe"
PHOENIX CONTACT INDIA PVT LTD,machine vision camera,Global Certification
FINE TECH CONTROLS PRIVATE LIMITED,relay,"US, Canada, Europe"
NETWORK ELECTRONICS,machine vision camera,"Australia, India"
PHOENIX CONTACT INDIA PVT LTD,contact sensor,"US, Canada, Europe"
SD ELECTRICAL,solenoid valve,Global Certification
SD ELECTRICAL,brush motor,"Europe, Asia"
KUDAMM CORPORATION,safety light curtain,"Europe, Asia"
SHREE SAI SOLUTIONS,actuator,Global Certification
SEW EURODRIVE INDIA P LTD,robotic gripper,"Europe, Asia"
Onyx Equipments  (India) Pvt. Ltd.,PLC,"Europe, Asia"
ELECTRICAL CONTROL SYSTEMS PVT. LTD.,servo amplifier,"Europe, Asia"
Leuze Electronics Pvt. Ltd.,actuator,"US, Canada, Europe"
SEW EURODRIVE INDIA P LTD,DC motor,"Australia, India"
IGUS INDIA PRIVATE LIMITED,contact sensor,"Europe, Asia"
MKSK OFFICE SOLUTIONS LLP,brush motor,"Australia, India"
SEW EURODRIVE INDIA P LTD,data logger,"Europe, Asia"
Diagnostic Automation & Controls Pvt. Ltd.,robotics arm,Global Certification
Onyx Equipments  (India) Pvt. Ltd.,smart controller,"Europe, Asia"
RITTAL PRIVATE LIMITED,pressure sensor,"Europe, Asia"
TAC Automation Pvt.Ltd- UP,proximity switch,"Australia, India"
SUGI ELECTRONICS LLP,linear actuator,"Australia, India"
Kinco ElectricShenzhenLtd.,contact sensor,"Australia, India"
Technovision Enterprises,thermal relay,"US, Canada, Europe"
Pepperl+Fuchs Factory Automation Pvt. Ltd,data logger,"US, Canada, Europe"
"SHANGHAI QUISURE INFO-TECH CO.,LTD",hydraulic actuator,"Australia, India"
TAC Automation Pvt.Ltd- UP,servo amplifier,Global Certification
Technovision Enterprises,DC motor,"Europe, Asia"
UNITED CONTROL ENGINEERS INDIA PRIVATE LIMITED,circuit breaker,Global Certification
CONDUCTIX-WAMPFLER INDIA PVT LTD,infrared camera,"US, Canada, Europe"
PHOENIX CONTACT INDIA PVT LTD,smart controller,"Australia, India"
FINE TECH CONTROLS PRIVATE LIMITED,hydraulic actuator,"US, Canada, Europe"
FESTO INDIA PRIVATE LIMITED,transformer,"Australia, India"
ELECTRICAL CONTROL SYSTEMS PVT. LTD.,current transformer,Global Certification
KUDAMM CORPORATION,light sensor,"Europe, Asia"
"ITOH DENKI CO., LTD.",stepper controller,"Australia, India"
Social Sea India Pvt Ltd,linear actuator,Global Certification
PHOENIX CONTACT INDIA PVT LTD,gear motor,Global Certification
"ITOH DENKI CO., LTD.",hydraulic actuator,"US, Canada, Europe"
RD ENERGY SOLUTIONS,light sensor,"US, Canada, Europe"
Kinco ElectricShenzhenLtd.,capacitive sensor,"US, Canada, Europe"
Digi-Key Electronics.,linear actuator,"Australia, India"
SM Electronic Technologies Pvt. Ltd,linear actuator,"US, Canada, Europe"
SECURITAS ENGINEERS,power supply,"US, Canada, Europe"
Praja Controls & Systems Pvt Ltd,industrial camera,"US, Canada, Europe"
IGUS INDIA PRIVATE LIMITED,gear motor,"Europe, Asia"
COGNEX IRELAND LTD,stepper controller,"Europe, Asia"
ASTronics Technology (I) Pvt Ltd,actuator,"Europe, Asia"
SM Electronic Technologies Pvt. Ltd,machine vision camera,Global Certification
TAC Automation Pvt.Ltd- UP,robotic gripper,"Europe, Asia"
CONDUCTIX-WAMPFLER INDIA PVT LTD,gear motor,"Australia, India"
RAJPRIYA INSTRUMENTS & CONTROLS,control cable,"US, Canada, Europe"
SECURITAS ENGINEERS,voltage regulator,"Australia, India"
RITTAL INDIA PRIVATE LIMITED,brushless motor,Global Certification
COGNEX IRELAND LTD,pneumatic actuator,"Europe, Asia"
RITTAL INDIA PRIVATE LIMITED,pneumatic actuator,"US, Canada, Europe"
Technovision Enterprises,servo amplifier,Global Certification
Leuze Electronics Pvt. Ltd.,infrared camera,"Australia, India"
Social Sea India Pvt Ltd,hydraulic actuator,"US, Canada, Europe"
Technovision Enterprises,inductive sensor,"US, Canada, Europe"
MKSK OFFICE SOLUTIONS LLP,AC motor,"US, Canada, Europe"
Diagnostic Automation & Controls Pvt. Ltd.,switch,"Australia, India"
MKSK OFFICE SOLUTIONS LLP,PLC,"US, Canada, Europe"
iTG Software Engineering (I) Pvt. Ltd,linear actuator,"Australia, India"
Pepperl+Fuchs Factory Automation Pvt. Ltd,brush motor,"Europe, Asia"
SICK INDIA Pvt. Ltd.,light sensor,Global Certification
IGUS INDIA PRIVATE LIMITED,control cable,"Australia, India"
UNITED CONTROL ENGINEERS INDIA PRIVATE LIMITED,light sensor,Global Certification
Onyx Equipments  (India) Pvt. Ltd.,servo amplifier,"US, Canada, Europe"
TAC Automation Pvt.Ltd- UP,voltage regulator,"Europe, Asia"
Onyx Equipments  (India) Pvt. Ltd.,brushless motor,Global Certification
SUGI ELECTRONICS LLP,data logger,"Australia, India"
Praja Controls & Systems Pvt Ltd,circuit breaker,"US, Canada, Europe"
SM Electronic Technologies Pvt. Ltd,voltage regulator,"Australia, India"
NETWORK ELECTRONICS,switch,Global Certification
Kinco ElectricShenzhenLtd.,encoder,"Europe, Asia"
Leuze Electronics Pvt. Ltd.,switch,"Australia, India"
KUDAMM CORPORATION,HMI panel,"Europe, Asia"
KINCO SCIENTIFIC LIMITED,DC motor,"Europe, Asia"
RITTAL PRIVATE LIMITED,relay,"Europe, Asia"
Diagnostic Automation & Controls Pvt. Ltd.,load cell,Global Certification
"SHANGHAI QUISURE INFO-TECH CO.,LTD",AC motor,"Australia, India"
Digi-Key Electronics.,contact sensor,"US, Canada, Europe"
TAC Automation Pvt.Ltd- UP,frequency inverter,"Europe, Asia"
FINE TECH CONTROLS PRIVATE LIMITED,camera module,"Australia, India"
"ITOH DENKI CO., LTD.",temperature sensor,"Australia, India"
Onyx Equipments  (India) Pvt. Ltd.,servo motor,"Europe, Asia"
SHREE SAI SOLUTIONS,linear actuator,Global Certification
MEERA ENTERPRISES,hydraulic actuator,"Australia, India"
CONDUCTIX-WAMPFLER INDIA PVT LTD,limit switch,"US, Canada, Europe"
SM Electronic Technologies Pvt. Ltd,contact sensor,"Australia, India"
"ITOH DENKI CO., LTD.",infrared camera,"US, Canada, Europe"
RD ENERGY SOLUTIONS,limit switch,"Europe, Asia"
UNITED CONTROL ENGINEERS INDIA PRIVATE LIMITED,temperature sensor,"Europe, Asia"
SHREE SAI SOLUTIONS,servo amplifier,"Australia, India"
RITTAL INDIA PRIVATE LIMITED,VFD drive,"US, Canada, Europe"
SICK INDIA Pvt. Ltd.,contact sensor,"Europe, Asia"
Pepperl+Fuchs Factory Automation Pvt. Ltd,switch,Global Certification
MEERA ENTERPRISES,AC motor,"Europe, Asia"
"SHANGHAI QUISURE INFO-TECH CO.,LTD",PLC,Global Certification
RD ENERGY SOLUTIONS,linear actuator,"Australia, India"
Pepperl+Fuchs Factory Automation Pvt. Ltd,VFD drive,"US, Canada, Europe"
COGNEX IRELAND LTD,relay,Global Certification
RD ENERGY SOLUTIONS,AC motor,"Australia, India"
iTG Software Engineering (I) Pvt. Ltd,PLC,"Europe, Asia"
RITTAL PRIVATE LIMITED,infrared camera,"Europe, Asia"
SD ELECTRICAL,actuator,"Australia, India"
RD ENERGY SOLUTIONS,inductive sensor,"Australia, India"
"SHANGHAI QUISURE INFO-TECH CO.,LTD",linear actuator,"Australia, India"
Diagnostic Automation & Controls Pvt. Ltd.,light sensor,"Europe, Asia"
SM Electronic Technologies Pvt. Ltd,stepper motor,"Europe, Asia"
Social Sea India Pvt Ltd,capacitive sensor,"Australia, India"
RD ENERGY SOLUTIONS,hydraulic actuator,"Australia, India"
PHOENIX CONTACT INDIA PVT LTD,light sensor,"Europe, Asia"
KINCO SCIENTIFIC LIMITED,smart controller,"US, Canada, Europe"
KUDAMM CORPORATION,control cable,"Europe, Asia"
SEW EURODRIVE INDIA P LTD,power supply,Global Certification
FINE TECH CONTROLS PRIVATE LIMITED,AC motor,"Australia, India"
SECURITAS ENGINEERS,machine vision camera,"US, Canada, Europe"
TAC Automation Pvt.Ltd- UP,safety light curtain,Global Certification
ELECTRICAL CONTROL SYSTEMS PVT. LTD.,gear motor,Global Certification
BHL POWER SYSTEM PVT LTD,data logger,"Australia, India"
Onyx Equipments  (India) Pvt. Ltd.,industrial camera,Global Certification
IGUS INDIA PRIVATE LIMITED,infrared camera,"Europe, Asia"
RD ENERGY SOLUTIONS,load cell,"US, Canada, Europe"
MKSK OFFICE SOLUTIONS LLP,frequency inverter,"US, Canada, Europe"
SECURITAS ENGINEERS,load cell,"US, Canada, Europe"
SHREE SAI SOLUTIONS,machine vision camera,Global Certification
RAJPRIYA INSTRUMENTS & CONTROLS,capacitive sensor,"Europe, Asia"
ELECTRICAL CONTROL SYSTEMS PVT. LTD.,servo motor,"Europe, Asia"
IGUS INDIA PRIVATE LIMITED,light sensor,"US, Canada, Europe"
ELECTRICAL CONTROL SYSTEMS PVT. LTD.,data logger,"Australia, India"
NETWORK ELECTRONICS,pressure sensor,"US, Canada, Europe"
IGUS INDIA PRIVATE LIMITED,inductive sensor,"US, Canada, Europe"
BHL POWER SYSTEM PVT LTD,stepper motor,Global Certification
PHOENIX CONTACT INDIA PVT LTD,brush motor,"Australia, India"
UNITED CONTROL ENGINEERS INDIA PRIVATE LIMITED,actuator,"US, Canada, Europe"
NETWORK ELECTRONICS,HMI panel,Global Certification
SM Electronic Technologies Pvt. Ltd,safety light curtain,"Europe, Asia"
RITTAL PRIVATE LIMITED,limit switch,"Europe, Asia"
MKSK OFFICE SOLUTIONS LLP,machine vision camera,"US, Canada, Europe"
Diagnostic Automation & Controls Pvt. Ltd.,infrared camera,"Australia, India"
SM Electronic Technologies Pvt. Ltd,IO module,"US, Canada, Europe"
Digi-Key Electronics.,capacitive sensor,"Europe, Asia"
MKSK OFFICE SOLUTIONS LLP,temperature sensor,Global Certification
"ITOH DENKI CO., LTD.",voltage regulator,"Australia, India"
Praja Controls & Systems Pvt Ltd,contact sensor,"US, Canada, Europe"
Onyx Equipments  (India) Pvt. Ltd.,control cable,"Australia, India"
RITTAL PRIVATE LIMITED,inductive sensor,Global Certification
SM Electronic Technologies Pvt. Ltd,inductive sensor,"Australia, India"
KUDAMM CORPORATION,capacitive sensor,Global Certification
SHREE SAI SOLUTIONS,robotic gripper,"US, Canada, Europe"
PHOENIX CONTACT INDIA PVT LTD,IO module,Global Certification
SHREE SAI SOLUTIONS,limit switch,Global Certification
NETWORK ELECTRONICS,solenoid valve,"US, Canada, Europe"
SHREE SAI SOLUTIONS,capacitive sensor,"Australia, India"
FINE TECH CONTROLS PRIVATE LIMITED,machine vision camera,"Australia, India"
RITTAL INDIA PRIVATE LIMITED,data logger,"US, Canada, Europe"
RD ENERGY SOLUTIONS,capacitive sensor,"US, Canada, Europe"
CONDUCTIX-WAMPFLER INDIA PVT LTD,hydraulic actuator,Global Certification
Kinco ElectricShenzhenLtd.,safety light curtain,"Australia, India"
KINCO SCIENTIFIC LIMITED,load cell,"US, Canada, Europe"
SICK INDIA Pvt. Ltd.,safety light curtain,Global Certification
Onyx Equipments  (India) Pvt. Ltd.,data logger,"Europe, Asia"
SICK INDIA Pvt. Ltd.,transformer,Global Certification
Onyx Equipments  (India) Pvt. Ltd.,safety light curtain,"Australia, India"
KUDAMM CORPORATION,frequency inverter,Global Certification
FINE TECH CONTROLS PRIVATE LIMITED,power cable,Global Certification
RAJPRIYA INSTRUMENTS & CONTROLS,load cell,"US, Canada, Europe"
Kinco ElectricShenzhenLtd.,camera module,"Australia, India"
Pepperl+Fuchs Factory Automation Pvt. Ltd,servo motor,"Australia, India"
KINCO SCIENTIFIC LIMITED,current transformer,Global Certification
FINE TECH CONTROLS PRIVATE LIMITED,switch,Global Certification
SEW EURODRIVE INDIA P LTD,control cable,Global Certification
KINCO SCIENTIFIC LIMITED,servo amplifier,"Europe, Asia"
ELECTRICAL CONTROL SYSTEMS PVT. LTD.,HMI panel,"US, Canada, Europe"
ASTronics Technology (I) Pvt Ltd,industrial camera,"US, Canada, Europe"
ELECTRICAL CONTROL SYSTEMS PVT. LTD.,actuator,"US, Canada, Europe"
UNITED CONTROL ENGINEERS INDIA PRIVATE LIMITED,smart controller,"Australia, India"
IGUS INDIA PRIVATE LIMITED,servo amplifier,Global Certification
Onyx Equipments  (India) Pvt. Ltd.,proximity switch,"Australia, India"
CONDUCTIX-WAMPFLER INDIA PVT LTD,VFD drive,"Australia, India"
FINE TECH CONTROLS PRIVATE LIMITED,current transformer,"US, Canada, Europe"
TAC Automation Pvt.Ltd- UP,contact sensor,"US, Canada, Europe"
RAJPRIYA INSTRUMENTS & CONTROLS,stepper controller,"Europe, Asia"
RITTAL PRIVATE LIMITED,linear actuator,"Australia, India"
Technovision Enterprises,current transformer,"Australia, India"
SEW EURODRIVE INDIA P LTD,thermal relay,"US, Canada, Europe"
ASTronics Technology (I) Pvt Ltd,HMI panel,"Australia, India"
KINCO SCIENTIFIC LIMITED,transformer,Global Certification
KINCO SCIENTIFIC LIMITED,robotic gripper,Global Certification
SHREE SAI SOLUTIONS,voltage regulator,"US, Canada, Europe"
RITTAL INDIA PRIVATE LIMITED,pressure sensor,"Australia, India"
PHOENIX CONTACT INDIA PVT LTD,switch,"US, Canada, Europe"
Onyx Equipments  (India) Pvt. Ltd.,light sensor,"US, Canada, Europe"
COGNEX IRELAND LTD,capacitive sensor,Global Certification
Leuze Electronics Pvt. Ltd.,relay,"Australia, India"
Leuze Electronics Pvt. Ltd.,proximity switch,Global Certification
TAC Automation Pvt.Ltd- UP,actuator,"Australia, India"
SECURITAS ENGINEERS,temperature sensor,"US, Canada, Europe"
NETWORK ELECTRONICS,encoder,"Australia, India"
SM Electronic Technologies Pvt. Ltd,current transformer,"Europe, Asia"
iTG Software Engineering (I) Pvt. Ltd,stepper controller,"Australia, India"
SUGI ELECTRONICS LLP,inductive sensor,"Australia, India"
SM Electronic Technologies Pvt. Ltd,power cable,Global Certification
MEERA ENTERPRISES,temperature controller,"Europe, Asia"
BHL POWER SYSTEM PVT LTD,industrial camera,"US, Canada, Europe"
TAC Automation Pvt.Ltd- UP,VFD drive,"US, Canada, Europe"
RITTAL INDIA PRIVATE LIMITED,contact sensor,Global Certification
ELECTRICAL CONTROL SYSTEMS PVT. LTD.,robotics arm,"Europe, Asia"
BHL POWER SYSTEM PVT LTD,power supply,"US, Canada, Europe"
Leuze Electronics Pvt. Ltd.,transformer,"Australia, India"
